,Current Rate,1-Year High,1-Year Low,1-Year Avg,Volume (Billions)
EFFR,4.33%,4.33%,4.33%,4.33%,116.0
SOFR,4.29%,4.42%,4.27%,4.33%,2570.0
OBFR,4.33%,4.33%,4.33%,4.33%,299.0
TGCR,4.28%,4.40%,4.26%,4.31%,1018.0
BGCR,4.28%,4.40%,4.26%,4.31%,1059.0
