Symbol,Z-Score,Daily Return (%),Close,Date
EURCZK,0.3021905923537152,0.08048474,24.87,2025-05-20
EURGBP,0.2841318087215553,0.14267273,0.8423,2025-05-20
MXNUSD,0.271357148515725,0.21235594,0.05191,2025-05-20
BTCUSD,0.2668328164556187,1.4025034,106944.59,2025-05-20
BTCUSD,0.2668328164556187,1.4025034,106944.59,2025-05-20
USDBRL,0.2624277156750253,0.29197332,5.6677,2025-05-20
GME,0.2610325095433598,2.223022,28.51,2025-05-20
USDCNY,0.24839788938885274,0.06930742,7.2194,2025-05-20
$ZADOW,0.23501400374666984,0.31033358,2463.08,2025-05-20
EURCAD,0.2343584135584265,0.12117837,1.5699,2025-05-20
%TYX,0.2309240997983557,0.54655766,4.967,2025-05-20
NOKUSD,0.2181459465906511,0.1539435,0.09759,2025-05-20
DKKGBP,0.20852014309269853,0.10635103,0.11296,2025-05-20
SEKEUR,0.20696146271394106,0.076117925,0.09204,2025-05-20
$SPCMC,0.20359737005976936,1.1935574,9280.36,2025-05-20
$BVSP,0.19249238373889077,0.33889353,140109.62,2025-05-20
EURJPY,0.18065219437693644,0.11054282,163.02,2025-05-20
$STI,0.17969634215381827,0.16253157,3882.5,2025-05-20
TWDUSD,0.17536505787392379,0.06029871,0.03319,2025-05-20
&ZN_CCB,0.17506459816306996,0.056745637,110.203125,2025-05-20
GBPNOK,0.17151541824062508,0.113800846,13.7231,2025-05-20
$SSEC,0.16979388473262888,0.20973612,3387.57,2025-05-21
EURMXN,0.15208490059219154,0.13730507,21.7336,2025-05-20
$SPCBDM,0.1456994310599524,0.9266843,5800.66,2025-05-20
MSTR,0.13777383540721794,0.8465966,416.92,2025-05-20
ILSUSD,0.13322713114805268,0.07044853,0.2841,2025-05-20
USDNZD,0.12109541257293187,0.088952765,1.6878,2025-05-20
RUBUSD,0.11554259745341226,0.16155212,0.0124,2025-05-20
TRYUSD,0.08768087382744598,0.0,0.0258,2025-05-20
EURHUF,0.086150999234109,0.049760304,402.09,2025-05-20
TSLA,0.08530139482454388,0.50571805,343.82,2025-05-20
GBPCAD,0.05891023490917107,0.032205064,1.8636,2025-05-20
GBPMXN,0.05497414069861488,0.05157615,25.8003,2025-05-20
$SIMSCI,0.05024074803518238,0.05412798,406.61,2025-05-20
CADJPY,0.03675377522076734,0.028900558,103.83,2025-05-20
GBPJPY,0.031716472978918615,0.025844041,193.53,2025-05-20
&CC_CCB,0.018643740622430748,-0.91124475,10874.0,2025-05-20
%TNX,0.01859129211641906,0.13407916,4.481,2025-05-20
$AUDTWI,0.0033959892289706496,0.0,59.7,2025-05-20
USDSGD,0.002930588088925021,0.0,1.2947,2025-05-20
DKKEUR,-0.0002130936957037831,0.0,0.1341,2025-05-20
SGDUSD,-0.0059942878065511514,0.0,0.7724,2025-05-20
ZWLUSD,-0.02060520499012817,-0.034060575,0.038158,2025-05-20
&CL_CCB,-0.022718268155934362,-0.17702061,62.03,2025-05-20
XAGUSD,-0.02299799995132728,0.0,32.35,2025-05-20
%IRX,-0.03035261620746288,0.18868807,4.248,2025-05-20
JPYGBP,-0.037252475040293914,-0.025145799,0.0051672,2025-05-20
JPYCAD,-0.043593258520927394,-0.029059423,0.0096311,2025-05-20
USDTRY,-0.05972412438073839,0.043586083,38.7887,2025-05-20
MXNGBP,-0.06343021533755185,-0.051575772,0.03876,2025-05-20
USDZWL,-0.06617004085238457,0.034356736,26.207,2025-05-20
HUFEUR,-0.06915140191553834,-0.04019323,0.002487,2025-05-20
$VIX,-0.07206593668327982,-0.27562976,18.09,2025-05-20
CADGBP,-0.07336728533282127,-0.037264004,0.5366,2025-05-20
$SPCBXM,-0.07522275156880721,-0.10052189,2911.79,2025-05-20
XAUUSD,-0.07580200339576593,-0.025081,3228.96,2025-05-20
$W1DOW,-0.10642929747151482,-0.078506544,661.87,2025-05-20
USDILS,-0.11035270166029329,-0.056775358,3.5204,2025-05-20
ETHUSD,-0.11563794579051045,-0.37074202,2512.58,2025-05-20
%FVX,-0.1189147546267933,-0.3430517,4.067,2025-05-20
NZDUSD,-0.120640199235415,-0.08432098,0.5925,2025-05-20
USDRUB,-0.12515372060419386,-0.15604419,80.62,2025-05-20
USDTWD,-0.1388469805069494,-0.046440452,30.132,2025-05-20
MXNEUR,-0.15249427630132092,-0.13023557,0.04601,2025-05-20
MSFT,-0.15382739587405575,-0.15254466,458.17,2025-05-20
NOKGBP,-0.17135515771033974,-0.10965988,0.07287,2025-05-20
JPYEUR,-0.18592259202892786,-0.110732,0.0061342,2025-05-20
GBPDKK,-0.2042319187716955,-0.10156599,8.853,2025-05-20
USDNOK,-0.22592723803451412,-0.15493119,10.2465,2025-05-20
EURSEK,-0.2277138732650933,-0.0827669,10.8647,2025-05-20
CADEUR,-0.24818990809560415,-0.12542395,0.637,2025-05-20
CNYUSD,-0.2507338037797284,-0.06926397,0.138516,2025-05-20
META,-0.2616196988109372,-0.5199658,637.1,2025-05-20
$OOI,-0.27137520407002796,-0.23560649,4145.46,2025-05-20
USDMXN,-0.284133454026275,-0.21754801,19.264,2025-05-20
GBPEUR,-0.29097441967297116,-0.142993,1.1872,2025-05-20
$SPXEW,-0.29838526238421975,-0.3159079,7263.92,2025-05-20
CZKEUR,-0.30271575320148153,-0.0795215,0.040209,2025-05-20
&HG_CCB,-0.30460401379372604,-0.35327995,465.4,2025-05-20
$NDX,-0.30899662825081736,-0.37152725,21367.37,2025-05-20
GBPSEK,-0.3100269085027073,-0.16873881,12.8976,2025-05-20
BRLUSD,-0.31963714046785974,-0.33898038,0.1764,2025-05-20
$MXX,-0.32822877638575915,-0.3115603,58311.15,2025-05-20
NOKEUR,-0.34633357397941444,-0.2076673,0.0865,2025-05-20
NVDA,-0.36420777145445804,-0.8777771,134.38,2025-05-20
$SPX,-0.3757664484601307,-0.38802296,5940.46,2025-05-20
&ES_CCB,-0.41685445799293547,-0.3802758,5959.75,2025-05-20
USDJPY,-0.4343805469434617,-0.24163347,144.5,2025-05-20
USDHUF,-0.4407758911375484,-0.3049026,356.4,2025-05-20
EURDKK,-0.4616059618506496,-0.014748727,7.4576,2025-05-20
USDGBP,-0.4619224427258271,-0.26713422,0.7467,2025-05-20
USDCZK,-0.46682451200081115,-0.27595076,22.044,2025-05-20
NZDJPY,-0.46878120724498346,-0.325959,85.62,2025-05-20
$N225,-0.48463092194845364,-0.6142045,37298.98,2025-05-21
SGDJPY,-0.48968301904944356,-0.24486966,111.62,2025-05-20
INRUSD,-0.5135732770009362,-0.17079549,0.01169,2025-05-20
USDCAD,-0.539106825458873,-0.2365896,1.3915,2025-05-20
AMZN,-0.5421975062387564,-1.0137739,204.07,2025-05-20
AAPL,-0.548380919633421,-0.9196275,206.86,2025-05-20
MYRUSD,-0.5552556822859115,-0.21431358,0.2328,2025-05-20
HKDGBP,-0.5789646705529948,-0.33431095,0.0954,2025-05-20
SGDGBP,-0.597864589671275,-0.27667767,0.5767,2025-05-20
EURZAR,-0.603854723240243,-0.52530915,20.2241,2025-05-20
NZDGBP,-0.6187874668025876,-0.3602786,0.4425,2025-05-20
TWDEUR,-0.6357300043157175,-0.30498526,0.02942,2025-05-20
&KC_CCB,-0.6627467728504115,-1.4411594,369.3,2025-05-20
CLPUSD,-0.6788043047862657,-0.56231767,0.001061,2025-05-20
GBPZAR,-0.6835819094604996,-0.6110237,24.0083,2025-05-20
USDSEK,-0.6933667782352284,-0.4373291,9.6301,2025-05-20
AUDHKD,-0.7001016312234615,-0.4477144,5.0253,2025-05-20
HUFCHF,-0.7038766189935048,-0.4282688,0.002325,2025-05-20
KRWUSD,-0.7149309149327584,-0.3982774,0.00071773,2025-05-20
$USDX,-0.7222982659689134,-0.30669972,100.118,2025-05-20
$USDX,-0.7222982659689134,-0.30669972,100.118,2025-05-20
USDEUR,-0.7239260731549292,-0.34851462,0.8864,2025-05-20
EURPLN,-0.7452239360603976,-0.2802164,4.2348,2025-05-20
USDDKK,-0.7692111305775217,-0.36926904,6.6102,2025-05-20
AUDUSD,-0.7933640059952328,-0.51131254,0.6421,2025-05-20
NZDEUR,-0.8169785222019766,-0.45480025,0.5253,2025-05-20
GBPCHF,-0.863476097744293,-0.4755536,1.1092,2025-05-20
USDZAR,-0.8746936106600828,-0.82964396,17.93,2025-05-20
GOOG,-0.8759685119314933,-1.5190254,165.32,2025-05-20
CADCHF,-0.8795066414795113,-0.46830374,0.5951,2025-05-20
HKDEUR,-0.8851985030700619,-0.4220489,0.11325,2025-05-20
NOKCHF,-0.9121020809249698,-0.61455387,0.08086,2025-05-20
MYREUR,-0.927295544992623,-0.53011507,0.2064,2025-05-20
$RTS,-0.9597407463018772,-1.9242502,1107.54,2025-05-20
USDPLN,-0.9631146637828821,-0.6326945,3.7536,2025-05-20
SGDEUR,-0.9999700195704152,-0.34934223,0.6846,2025-05-20
JPYCHF,-1.0148997639501391,-0.5274155,0.0057336,2025-05-20
AUDJPY,-1.0434229519131908,-0.7594386,92.78,2025-05-20
$NIF,-1.0499395767147148,-1.0484831,24683.9,2025-05-20
$SEN,-1.058712742955262,-1.0638442,81186.44,2025-05-20
INREUR,-1.1086172493802364,-0.57582015,0.01036,2025-05-20
AUDSGD,-1.1098089369817221,-0.51460004,0.8313,2025-05-20
AUDNZD,-1.1617148652433165,-0.43199122,1.0833,2025-05-20
EURCHF,-1.1839921725449203,-0.38379544,0.9344,2025-05-20
AUDGBP,-1.380047019126387,-0.78561187,0.4799,2025-05-20
NZDCHF,-1.4087473399853394,-0.8500464,0.49106,2025-05-20
USDCHF,-1.532042189296648,-0.74305075,0.8282,2025-05-20
AUDEUR,-1.5435113664569815,-0.8527635,0.5697,2025-05-20
HKDUSD,-1.626664167376231,-0.070380196,0.12777,2025-05-20
AUDCAD,-1.6874486665522763,-0.77648026,0.8945,2025-05-20
AUDZAR,-1.7671425033987471,-1.3845228,11.5103,2025-05-20
AUDCHF,-2.022882131478479,-1.244204,0.5318,2025-05-20
