Open,High,Low,Close,Volume,Open Interest,Symbol
70.63,70.63,70.63,70.63,0.0,0.0,BRN-2030X
70.37,70.5,70.23,70.23,418.0,15919.0,BRN-2030Z
70.31,70.58,70.25,70.52,170.0,0.0,BRN-2030Z
70.15,70.15,70.15,70.15,0.0,0.0,BRN-2031F
70.43,70.43,70.43,70.43,0.0,0.0,BRN-2031F
70.06,70.06,70.06,70.06,0.0,0.0,BRN-2031G
70.35,70.35,70.35,70.35,0.0,0.0,BRN-2031G
69.97,69.97,69.97,69.97,0.0,0.0,BRN-2031H
70.27,70.27,70.27,70.27,0.0,0.0,BRN-2031H
69.86,69.86,69.86,69.86,0.0,0.0,BRN-2031J
70.17,70.17,70.17,70.17,0.0,0.0,BRN-2031J
69.77,69.77,69.77,69.77,0.0,0.0,BRN-2031K
70.09,70.09,70.09,70.09,0.0,0.0,BRN-2031K
69.67,69.67,69.67,69.67,0.0,0.0,BRN-2031M
69.99,69.99,69.99,69.99,0.0,0.0,BRN-2031M
69.58,69.58,69.58,69.58,0.0,0.0,BRN-2031N
69.91,69.91,69.91,69.91,0.0,0.0,BRN-2031N
69.49,69.49,69.49,69.49,0.0,0.0,BRN-2031Q
69.83,69.83,69.83,69.83,0.0,0.0,BRN-2031Q
69.41,69.41,69.41,69.41,0.0,0.0,BRN-2031U
69.76,69.76,69.76,69.76,0.0,0.0,BRN-2031U
69.33,69.33,69.33,69.33,0.0,0.0,BRN-2031V
69.69,69.69,69.69,69.69,0.0,0.0,BRN-2031V
69.25,69.25,69.25,69.25,0.0,0.0,BRN-2031X
69.61,69.61,69.61,69.61,0.0,0.0,BRN-2031X
69.17,69.17,69.17,69.17,13.0,1113.0,BRN-2031Z
69.53,69.53,69.53,69.53,5.0,0.0,BRN-2031Z
69.08,69.08,69.08,69.08,0.0,0.0,BRN-2032F
69.44,69.44,69.44,69.44,0.0,0.0,BRN-2032F
68.99,68.99,68.99,68.99,0.0,0.0,BRN-2032G
69.35,69.35,69.35,69.35,0.0,0.0,BRN-2032G
68.9,68.9,68.9,68.9,0.0,0.0,BRN-2032H
69.26,69.26,69.26,69.26,0.0,0.0,BRN-2032H
68.82,68.82,68.82,68.82,0.0,0.0,BRN-2032J
69.18,69.18,69.18,69.18,0.0,0.0,BRN-2032J
68.73,68.73,68.73,68.73,0.0,0.0,BRN-2032K
69.1,69.1,69.1,69.1,0.0,0.0,BRN-2032K
68.64,68.64,68.64,68.64,0.0,0.0,BRN-2032M
69.02,69.02,69.02,69.02,0.0,0.0,BRN-2032M
68.57,68.57,68.57,68.57,0.0,0.0,BRN-2032N
68.95,68.95,68.95,68.95,0.0,0.0,BRN-2032N
68.5,68.5,68.5,68.5,0.0,0.0,BRN-2032Q
