,Current Rate,1-Year High,1-Year Low,1-Year Avg,Volume (Billions)
EFFR,0.0362,0.0433,0.0362,0.0386,131.0
SOFR,0.0358,0.0451,0.035,0.0389,3158.0
OBFR,0.0362,0.0433,0.0361,0.0385,266.0
TGCR,0.0357,0.045,0.035,0.0387,1279.0
BGCR,0.0357,0.045,0.035,0.0387,1319.0
