Symbol,Z-Score,Daily Return (%),Close,Date
ZARUSD,0.056667441206001805,0.048519753,0.06186,2026-08-14
AAPL,0.05602613167440004,0.21947941,305.93,2026-08-14
INRUSD,0.042623940829068806,0.0,0.01048,2026-08-14
&CC_CCB,0.03981452706446676,1.5226629,5734.0,2026-08-14
JPYSGD,0.039328578772696715,0.0,0.00803,2026-08-14
AUDEUR,0.03916029589707654,0.01632924,0.6126,2026-08-14
MXNUSD,0.03715536262110988,0.034043852,0.05876,2026-08-14
&HG_CCB,0.030886267532394103,0.07566586,661.3,2026-08-14
JPYCHF,0.02866308583482591,-0.009795907,0.0051049,2026-08-14
GME,0.027029297980910826,0.4846535,18.66,2026-08-14
USDTRY,0.017664838595883484,0.1319619,47.8791,2026-08-14
&CL_CCB,0.01303677113605803,1.4153866,82.4,2026-08-14
CLPUSD,0.011446980934820807,0.0,0.001094,2026-08-14
HKDUSD,0.010171763523382674,0.0,0.12744,2026-08-14
DKKEUR,0.003970098825067518,0.0,0.1338,2026-08-14
AUDCAD,-0.0021621748088393945,0.0,0.9836,2026-08-14
CADAUD,-0.0021792171481999152,0.0,1.0167,2026-08-14
%IRX,-0.0026454975778177625,-0.21592164,3.697,2026-08-14
$SSEC,-0.009067715475020959,0.005601552,3927.18,2026-08-14
USDZAR,-0.012537705928560218,0.0,16.17,2026-08-14
&NG_CCB,-0.019307572809332034,0.22002354,2.733,2026-08-14
ZWLUSD,-0.02073862268897393,0.0,0.039468,2026-08-14
EURTWD,-0.030563354954079094,-0.010805544,37.029,2026-08-14
CHFJPY,-0.03245707193427718,0.010213035,195.89,2026-08-14
XAGEUR,-0.03314786041832424,0.0,55.88,2026-08-14
XAGGBP,-0.04388735073066773,-0.020938111,47.76,2026-08-14
SGDJPY,-0.044324162532800256,0.0,124.595,2026-08-14
$SPXEW,-0.04470755245524039,-0.0062052095,9017.19,2026-08-14
USDINR,-0.045849003125698715,0.0,95.44,2026-08-14
USDMXN,-0.04616727766013466,-0.035249475,17.017,2026-08-14
XAGAUD,-0.04789315459732444,-0.021920089,91.24,2026-08-14
EURAUD,-0.048152305484794,-0.01837022,1.6324,2026-08-14
$W1DOW,-0.05068175063264292,-0.008043306,870.31,2026-08-14
EURGBP,-0.05806334927979995,-0.023403905,0.8545,2026-08-14
XAGCAD,-0.06422815877223177,-0.055713706,89.7,2026-08-14
